#Solução sedimentação esfera - Runge Kutta 4 ordem 
#t    vRK4    vExato    erTrue[%] 
0.01 0.0198013 0.0198013 1.34224e-07
0.02 0.0392106 0.0392106 1.32881e-07
0.03 0.0582355 0.0582355 1.31548e-07
0.04 0.0768837 0.0768837 1.30224e-07
0.05 0.0951626 0.0951626 1.28909e-07
0.06 0.11308 0.11308 1.27603e-07
0.07 0.130642 0.130642 1.26306e-07
0.08 0.147856 0.147856 1.25018e-07
0.09 0.16473 0.16473 1.23739e-07
0.1 0.181269 0.181269 1.22469e-07
0.11 0.197481 0.197481 1.21208e-07
0.12 0.213372 0.213372 1.19956e-07
0.13 0.228948 0.228948 1.18713e-07
0.14 0.244216 0.244216 1.17479e-07
0.15 0.259182 0.259182 1.16254e-07
0.16 0.273851 0.273851 1.15038e-07
0.17 0.28823 0.28823 1.13831e-07
0.18 0.302324 0.302324 1.12632e-07
0.19 0.316139 0.316139 1.11443e-07
0.2 0.32968 0.32968 1.10263e-07
0.21 0.342953 0.342953 1.09091e-07
0.22 0.355964 0.355964 1.07929e-07
0.23 0.368716 0.368716 1.06775e-07
0.24 0.381217 0.381217 1.0563e-07
0.25 0.393469 0.393469 1.04494e-07
0.26 0.405479 0.405479 1.03367e-07
0.27 0.417252 0.417252 1.02248e-07
0.28 0.428791 0.428791 1.01138e-07
0.29 0.440102 0.440102 1.00038e-07
0.3 0.451188 0.451188 9.89454e-08
0.31 0.462056 0.462056 9.78619e-08
0.32 0.472708 0.472708 9.67872e-08
0.33 0.483149 0.483149 9.57211e-08
0.34 0.493383 0.493383 9.46637e-08
0.35 0.503415 0.503415 9.36148e-08
0.36 0.513248 0.513248 9.25747e-08
0.37 0.522886 0.522886 9.15431e-08
0.38 0.532334 0.532334 9.052e-08
0.39 0.541594 0.541594 8.95055e-08
0.4 0.550671 0.550671 8.84995e-08
0.41 0.559568 0.559568 8.7502e-08
0.42 0.568289 0.568289 8.65129e-08
0.43 0.576838 0.576838 8.55323e-08
0.44 0.585217 0.585217 8.45601e-08
0.45 0.59343 0.59343 8.35962e-08
0.46 0.601481 0.601481 8.26407e-08
0.47 0.609372 0.609372 8.16934e-08
0.48 0.617107 0.617107 8.07545e-08
0.49 0.624689 0.624689 7.98238e-08
0.5 0.632121 0.632121 7.89013e-08
0.51 0.639405 0.639405 7.7987e-08
0.52 0.646545 0.646545 7.70809e-08
0.53 0.653544 0.653544 7.61829e-08
0.54 0.660404 0.660404 7.5293e-08
0.55 0.667129 0.667129 7.44111e-08
0.56 0.67372 0.67372 7.35372e-08
0.57 0.680181 0.680181 7.26714e-08
0.58 0.686514 0.686514 7.18135e-08
0.59 0.692721 0.692721 7.09634e-08
0.6 0.698806 0.698806 7.01213e-08
0.61 0.70477 0.70477 6.9287e-08
0.62 0.710616 0.710616 6.84606e-08
0.63 0.716346 0.716346 6.76418e-08
0.64 0.721963 0.721963 6.68309e-08
0.65 0.727468 0.727468 6.60276e-08
0.66 0.732865 0.732865 6.52319e-08
0.67 0.738154 0.738154 6.44439e-08
0.68 0.743339 0.743339 6.36635e-08
0.69 0.748421 0.748421 6.28905e-08
0.7 0.753403 0.753403 6.21251e-08
0.71 0.758286 0.758286 6.13672e-08
0.72 0.763072 0.763072 6.06166e-08
0.73 0.767764 0.767764 5.98734e-08
0.74 0.772362 0.772362 5.91376e-08
0.75 0.77687 0.77687 5.84091e-08
0.76 0.781288 0.781288 5.76878e-08
0.77 0.785619 0.785619 5.69737e-08
0.78 0.789864 0.789864 5.62668e-08
0.79 0.794025 0.794025 5.5567e-08
0.8 0.798103 0.798103 5.48742e-08
0.81 0.802101 0.802101 5.41886e-08
0.82 0.80602 0.80602 5.35099e-08
0.83 0.809861 0.809861 5.28382e-08
0.84 0.813626 0.813626 5.21733e-08
0.85 0.817316 0.817316 5.15154e-08
0.86 0.820934 0.820934 5.08643e-08
0.87 0.82448 0.82448 5.02199e-08
0.88 0.827955 0.827955 4.95823e-08
0.89 0.831362 0.831362 4.89513e-08
0.9 0.834701 0.834701 4.83271e-08
0.91 0.837974 0.837974 4.77094e-08
0.92 0.841183 0.841183 4.70982e-08
0.93 0.844327 0.844327 4.64936e-08
0.94 0.84741 0.84741 4.58954e-08
0.95 0.850431 0.850431 4.53037e-08
0.96 0.853393 0.853393 4.47183e-08
0.97 0.856296 0.856296 4.41393e-08
0.98 0.859142 0.859142 4.35665e-08
0.99 0.861931 0.861931 4.3e-08
1 0.864665 0.864665 4.24397e-08
1.01 0.867345 0.867345 4.18855e-08
1.02 0.869971 0.869971 4.13374e-08
1.03 0.872546 0.872546 4.07954e-08
1.04 0.87507 0.87507 4.02594e-08
1.05 0.877544 0.877544 3.97293e-08
1.06 0.879968 0.879968 3.92052e-08
1.07 0.882345 0.882345 3.86869e-08
1.08 0.884675 0.884675 3.81744e-08
1.09 0.886958 0.886958 3.76678e-08
1.1 0.889197 0.889197 3.71669e-08
1.11 0.891391 0.891391 3.66716e-08
1.12 0.893541 0.893541 3.6182e-08
1.13 0.89565 0.89565 3.5698e-08
1.14 0.897716 0.897716 3.52195e-08
1.15 0.899741 0.899741 3.47466e-08
1.16 0.901726 0.901726 3.4279e-08
1.17 0.903672 0.903672 3.3817e-08
1.18 0.90558 0.90558 3.33602e-08
1.19 0.907449 0.907449 3.29088e-08
1.2 0.909282 0.909282 3.24627e-08
1.21 0.911078 0.911078 3.20218e-08
1.22 0.912839 0.912839 3.15861e-08
1.23 0.914565 0.914565 3.11555e-08
1.24 0.916257 0.916257 3.073e-08
1.25 0.917915 0.917915 3.03096e-08
1.26 0.91954 0.91954 2.98942e-08
1.27 0.921134 0.921134 2.94837e-08
1.28 0.922695 0.922695 2.90782e-08
1.29 0.924226 0.924226 2.86775e-08
1.3 0.925726 0.925726 2.82816e-08
1.31 0.927197 0.927197 2.78905e-08
1.32 0.928639 0.928639 2.75042e-08
1.33 0.930052 0.930052 2.71225e-08
1.34 0.931437 0.931437 2.67455e-08
1.35 0.932794 0.932794 2.63731e-08
1.36 0.934125 0.934125 2.60053e-08
1.37 0.93543 0.93543 2.5642e-08
1.38 0.936708 0.936708 2.52831e-08
1.39 0.937961 0.937961 2.49287e-08
1.4 0.93919 0.93919 2.45787e-08
1.41 0.940394 0.940394 2.4233e-08
1.42 0.941574 0.941574 2.38917e-08
1.43 0.942731 0.942731 2.35546e-08
1.44 0.943865 0.943865 2.32217e-08
1.45 0.944977 0.944977 2.2893e-08
1.46 0.946066 0.946066 2.25684e-08
1.47 0.947134 0.947134 2.22479e-08
1.48 0.948181 0.948181 2.19315e-08
1.49 0.949207 0.949207 2.16191e-08
1.5 0.950213 0.950213 2.13106e-08
1.51 0.951199 0.951199 2.10061e-08
1.52 0.952165 0.952165 2.07055e-08
1.53 0.953112 0.953112 2.04087e-08
1.54 0.954041 0.954041 2.01158e-08
1.55 0.954951 0.954951 1.98266e-08
1.56 0.955843 0.955843 1.95411e-08
1.57 0.956717 0.956717 1.92593e-08
1.58 0.957574 0.957574 1.89812e-08
1.59 0.958414 0.958414 1.87067e-08
1.6 0.959238 0.959238 1.84357e-08
1.61 0.960045 0.960045 1.81684e-08
1.62 0.960836 0.960836 1.79045e-08
1.63 0.961612 0.961612 1.7644e-08
1.64 0.962372 0.962372 1.7387e-08
1.65 0.963117 0.963117 1.71334e-08
