#Raízes pelo método da falsa posição 
#iteração raiz erAprox
1 0.906818 1
2 0.913279 0.00707439
3 0.919389 0.00664586
4 0.925156 0.00623362
5 0.930589 0.00583798
6 0.935697 0.00545923
7 0.940491 0.00509753
8 0.944983 0.00475298
9 0.949184 0.00442556
10 0.953106 0.00411518
11 0.956762 0.00382164
12 0.960166 0.00354467
13 0.963329 0.0032839
14 0.966266 0.00303892
15 0.968988 0.00280923
16 0.971508 0.0025943
17 0.973839 0.00239356
18 0.975992 0.00220639
19 0.97798 0.00203216
20 0.979812 0.00187024
21 0.9815 0.00171996
22 0.983054 0.00158069
23 0.984484 0.00145178
24 0.985797 0.0013326
25 0.987004 0.00122254
26 0.988112 0.00112101
27 0.989128 0.00102743
28 0.99006 0.00094126
